,srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,sub,tat_in_days
20,2870652,10,3,560011,233,245,228,1,0,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,11985,11.725782271179789
21,2920134,10,3,560011,233,245,131,1,0,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,55,12.056701965991381
22,2866111,13,21,110015,233,233,131,1,0,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,40,11.24965753519739
23,2908430,10,3,560011,233,233,131,2,0,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,40103,13.580612696166986
24,2920849,13,22,400104,233,233,131,2,0,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,66051,13.076201107507318
25,2884266,6,5,380009,233,245,131,1,0,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,11985,13.192111375211047
26,2819466,13,4,600024,233,233,131,2,0,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,20050,13.464303104331236
27,2858437,13,17,800001,233,233,131,1,0,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,384909,16.648225389593183
28,3050523,15,2,110018,308,233,131,1,0,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,200983,14.93450094185904
29,2876140,13,22,400104,233,245,131,2,0,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,25,12.200882272587725
30,2824732,9,7,500004,233,233,131,1,0,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,137986,13.58802606031032
31,2839241,6,17,800001,233,233,131,3,0,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,5,12.854002415439421
32,2868409,13,22,400104,233,233,131,1,0,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,40001,11.737864439840486
33,2907041,16,1,400059,233,233,131,1,0,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,35,12.538873837950494
34,2844455,13,7,500004,233,233,131,2,0,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,5,13.381850128827871
35,2867312,15,1,400059,233,233,131,1,0,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,20983,12.60345912991666
36,2972765,13,22,400104,0,233,131,4,0,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,91,14.187731292406195
37,2983511,15,2,110018,233,233,131,1,0,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,0,12.270032317398305
38,2857281,13,3,560011,233,233,131,1,0,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,10,12.322488944629685
39,3051964,10,23,400001,233,233,131,1,0,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,1208,11.521320724325214
40,2981162,13,21,110015,233,233,131,1,0,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,3,11.249167019387073
41,3014945,13,26,560066,201,233,131,4,0,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,40,12.597260733873611
42,2999197,10,27,110034,233,233,131,1,0,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,20050,11.652766496466418
43,2829017,10,7,500004,233,233,131,1,0,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,10,11.855631952852555
44,2848996,9,3,560011,233,233,131,1,0,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,2,11.959220214467587
45,2870108,13,22,400104,233,233,131,2,0,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,10,12.200683414826786
46,2859591,10,2,110018,233,233,131,1,0,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,4015,12.393723919318353
47,2861847,10,3,560011,233,233,228,1,0,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,11984,11.725769013995725
48,2880678,10,2,110018,233,233,228,1,0,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,76,11.85242597061679
49,2872297,13,22,400104,233,233,131,3,0,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,39970,13.72342751280488
50,2930663,13,21,110015,233,233,131,3,0,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,51910,13.923281718196646
51,2936017,10,23,400001,233,233,131,1,0,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,30998,11.916252237551134
52,2940545,28,3,560011,233,233,228,1,0,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,2,13.291835743829543
53,2887249,5,9,411016,233,233,228,2,0,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,19,13.342791659610679
54,2978501,12,2,110018,308,233,228,1,0,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,2,13.057907162497775
55,3013507,32,5,380009,201,233,131,4,0,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,0,18.528442232706187
56,3035976,10,6,160059,233,233,228,2,0,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,15000,12.72302071662523
57,3057218,13,26,560066,233,233,131,2,0,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,55991,11.353039393691812
58,3086262,10,23,400001,233,233,228,1,0,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,47,11.016851232949655
59,3078906,13,22,400104,233,233,131,1,0,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,17280,11.436647960753337
60,2822707,13,21,110015,233,245,131,1,0,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,3,11.249167019387073
61,2874119,10,3,560011,233,245,228,2,0,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,8,12.559988000496764
62,2879096,13,11,641012,201,201,131,4,0,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,43080,15.471490051000897
63,3041893,5,2,110018,233,233,228,3,0,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,10953,14.508184812546672
64,3085048,13,26,560066,233,233,228,1,0,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,40048,9.659615184667203
65,2833586,13,21,110015,201,233,131,0,0,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,26,10.256484911785348
66,3029632,10,27,110034,233,233,131,2,0,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,8,12.380053036318238
67,2953931,13,8,700064,233,233,131,1,0,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,35,11.991812210978235
68,2946014,13,4,600024,233,233,131,1,0,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,17497,12.437470490584161
69,3011371,10,23,400001,308,233,131,1,0,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,18,11.505544675290677
70,3084072,13,21,110015,233,233,131,1,0,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,22003,11.540825068765061
71,2896365,13,8,700064,233,233,228,1,0,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,174035,13.809484337198029
72,3021704,15,12,302006,233,233,131,2,0,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,19978,13.478388188186443
73,2904158,13,7,500004,233,233,131,1,0,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,40008,12.919190240050323
74,3035437,15,2,110018,233,233,228,2,1,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,89,30.100616009426666
75,2870227,13,2,110018,233,233,131,1,0,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,26,13.455873846200237
76,3013338,10,27,110034,308,233,228,1,0,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,23,10.898186970565172
77,2848947,13,21,110015,233,233,131,2,0,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,2,12.242140785038178
78,2846763,10,2,110018,233,233,228,1,0,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,3401,11.896506107625056
79,2883269,13,2,110018,233,233,228,1,0,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,11983,13.125312095358336
80,2843740,15,12,302006,233,233,228,2,0,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,68,12.725359752820525
81,2904312,1,12,302006,233,233,228,1,0,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,11042,10.502417539657829
82,2924654,32,4,600024,233,233,131,1,0,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,80,14.045373410366242
83,2938914,10,2,110018,233,233,228,1,0,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,72086,12.807075794967197
84,2822482,6,1,400059,233,233,131,1,0,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,19,11.331332411477755
85,2943376,13,22,400104,233,233,131,1,0,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,40002,11.73787769702455
86,2979916,13,21,110015,233,233,131,3,0,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,65,13.235963010469291
87,3041172,13,21,110015,308,233,131,1,0,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,76,11.250134793823644
88,3049892,10,27,110034,233,233,131,1,0,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,11,11.387105785035258
89,3034718,10,25,560037,233,233,131,1,0,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,13386,11.394321481749635
90,3054515,10,25,560037,233,233,131,1,0,600092,2017-05-04,2017-05-02,2018-04-04,4460,2018-04-09,10,11.21699338772782
91,3011372,15,9,411016,233,233,228,1,0,411028,2017-06-11,2015-08-14,2018-03-23,4548,2018-03-31,33,11.521245666214655
92,2931879,32,5,380009,233,245,131,2,0,360001,2017-12-08,2017-04-08,2018-03-03,4039,2018-03-24,5799,16.619346597415078
93,3061051,10,25,560037,308,245,131,1,0,560048,2017-04-21,2017-04-21,2018-04-06,4460,2018-04-11,2978,11.256340710025722
94,2838851,13,21,110015,233,233,131,1,0,110063,2017-08-14,2017-08-09,2018-02-04,4580,2018-02-06,13295,11.425381509947627
95,2883744,13,21,110015,233,233,131,3,0,143505,2018-01-10,2017-05-03,2018-02-18,4580,2018-02-21,28058,13.607071363934656
96,3003851,13,2,110018,308,245,228,1,0,110017,2018-02-28,2017-09-07,2018-03-21,4580,2018-03-23,21999,11.77638178001516
97,2865482,10,8,700064,233,233,131,1,0,700156,2018-02-09,2018-02-07,2018-02-13,4499,2018-02-16,4,11.731861632175256
98,2949800,13,7,500004,233,233,131,1,0,500079,2017-05-19,2017-05-17,2018-03-07,4403,2018-03-17,72,12.389751337324899
99,2909787,12,2,110018,233,233,228,1,0,110043,2017-08-09,2017-02-22,2018-02-26,4092,2018-02-27,29014,13.442524586522966
100,2854751,13,21,110015,233,233,131,1,0,110049,2017-07-06,2017-07-05,2018-02-09,4580,2018-02-12,67940,12.149820333050362
101,2849456,9,3,560011,233,233,131,1,0,560050,2018-01-05,2018-01-05,2018-02-07,4460,2018-02-16,31000,12.370166406041172
102,2932154,9,23,400001,233,233,131,1,0,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,11879,11.566009014689127
103,2932154,9,23,400001,233,0,131,1,0,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,191998,13.953879750867028
104,2985584,9,23,400001,201,233,131,0,0,453111,2018-02-26,2018-02-26,2018-03-15,4398,2018-03-24,55,10.416269047497353
105,2854160,13,21,110015,233,233,131,1,0,110084,2017-12-02,2017-11-28,2018-02-09,4580,2018-02-12,50,11.249790107038017
106,2987955,15,12,302006,233,233,131,2,0,342001,2017-10-13,2016-06-16,2018-03-16,4453,2018-03-20,30037,13.611742202672495
107,3007421,10,23,400001,233,233,131,1,0,411038,2017-05-02,2017-05-02,2018-03-22,4398,2018-03-24,26019,11.850244718103271
108,3053312,9,6,160059,233,233,131,3,0,143001,2017-10-11,2017-10-10,2018-04-04,4437,2018-04-15,11,13.909594587455913
109,2934361,10,12,302006,233,233,228,2,0,313001,2018-01-29,2017-11-29,2018-03-03,4407,2018-03-05,11,12.398119243440554
110,2979407,13,22,400104,233,233,131,2,0,361140,2017-10-09,2017-10-06,2018-03-14,4581,2018-03-29,11,12.200696672010848
111,3001378,15,4,600024,233,233,228,1,0,600019,2018-02-28,2018-02-13,2018-03-20,4483,2018-03-29,91286,13.144138996624406
112,3025387,10,6,160059,233,233,228,3,0,141001,2018-01-04,2017-07-20,2018-03-27,4437,2018-03-31,40,13.517680265883365
113,2856532,6,1,400059,233,233,131,2,0,452001,2017-02-12,2017-02-09,2018-02-09,4581,2018-02-13,59081,13.107315239420318
114,3030131,13,7,500004,233,233,228,1,0,500072,2018-03-04,2017-07-08,2018-03-28,4403,2018-03-30,290030,15.744700013079818
115,2821171,15,2,110018,233,233,228,1,0,122015,2017-12-18,2017-10-18,2018-01-30,4094,2018-02-01,17754,13.576742110459023
116,2849313,13,3,560011,233,233,228,1,0,560076,2018-01-09,2017-12-13,2018-02-07,4467,2018-02-12,12,11.833437558318971
117,2838919,9,8,700064,201,233,131,4,0,711113,2018-01-27,2018-01-27,2018-02-04,4499,2018-02-11,38,14.614494324170414
118,2839783,13,21,110015,233,233,131,3,0,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,191991,15.780361318874734
119,2839783,13,21,110015,233,233,131,3,0,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,90995,14.441438757284766
120,2855601,13,17,800001,233,233,131,3,0,834001,2017-10-11,2017-10-06,2018-02-09,4538,2018-02-14,8,13.531496032370928
121,2868202,13,3,560011,233,233,131,2,0,580032,2018-01-12,2018-01-11,2018-02-14,4467,2018-02-19,109935,14.772771925550094
122,2835214,15,12,302006,233,233,131,1,0,302013,2017-08-10,2017-06-25,2018-02-03,4407,2018-02-16,10002,12.510558251096391
123,2892610,15,2,110018,233,233,131,1,0,122016,2017-09-12,2016-11-28,2018-02-21,4091,2018-02-24,116001,15.37856449247577
124,2906296,13,4,600024,233,233,131,1,0,600096,2017-05-06,2017-05-05,2018-02-25,4490,2018-03-03,93341,13.442948358630712
125,2884859,13,21,110015,201,233,131,0,0,335524,2018-01-10,2017-09-22,2018-02-19,4668,2018-03-07,39955,10.484697397962565
126,3003578,15,2,110018,308,233,228,1,0,110046,2018-03-01,2017-03-25,2018-03-21,4091,2018-03-27,9980,13.48394668029222
127,3036158,13,21,110015,233,233,131,1,0,201301,2017-06-16,2017-06-14,2018-03-29,4580,2018-04-01,9,11.249246562491448
128,3007060,10,23,400001,233,233,131,1,0,400058,2017-05-04,2017-05-04,2018-03-22,4398,2018-04-02,15,11.505504903738489
129,2995265,15,3,560011,233,233,228,1,0,560004,2018-03-11,2018-03-11,2018-03-19,4469,2018-03-28,2,12.020019282191209
130,3048957,10,27,110034,233,233,228,1,0,201009,2017-12-16,2017-07-11,2018-04-03,4388,2018-04-05,27,10.898239999301422
131,3064024,10,6,160059,233,233,131,2,0,160036,2017-12-16,2017-12-16,2018-04-07,4437,2018-04-10,40,13.013771143727036
132,3038673,15,1,400059,233,233,131,1,0,400710,2017-11-27,2017-11-17,2018-03-30,4010,2018-04-11,44,14.156622460772029
133,3054305,13,22,400104,233,233,131,1,0,400080,2017-04-13,2017-04-12,2018-04-04,4581,2018-04-09,17623,11.441195174886822
134,3056252,10,27,110034,233,233,228,1,0,110029,2017-05-09,2017-04-11,2018-04-05,4388,2018-04-17,0,10.897882055331731
135,2876909,15,2,110018,233,245,131,1,0,110096,2017-09-06,2017-06-20,2018-02-16,4094,2018-02-20,11984,13.989326059096452
136,2862113,13,26,560066,233,245,131,1,0,560040,2016-07-28,2016-07-27,2018-02-12,5001,2018-03-16,24087,9.937095170522312
137,2876160,15,2,110018,233,233,228,1,0,121007,2017-12-27,2017-09-04,2018-02-16,4388,2018-02-21,1,12.335327285654465
138,3006324,10,6,160059,233,233,131,1,0,160071,2018-01-02,2018-01-02,2018-03-22,4437,2018-03-24,30004,12.418022384144688
139,2835363,13,7,500004,233,233,131,1,0,500089,2017-02-24,2017-02-22,2018-02-03,4403,2018-02-14,92,12.390016481006151
140,3037453,13,22,400104,233,233,131,3,0,415409,2017-08-24,2017-08-22,2018-03-30,4581,2018-04-03,25,13.193869295422893
141,2987148,1,3,560011,233,245,131,1,0,560032,2017-10-04,2017-10-04,2018-03-16,4400,2018-03-17,223008,14.346737212114524
142,2910212,13,21,110015,233,233,131,2,0,125050,2017-08-09,2017-02-03,2018-02-26,4580,2018-03-03,24996,12.573490843499698
143,3050106,13,22,400104,233,233,131,2,0,440008,2017-06-30,2016-12-02,2018-04-03,4581,2018-04-13,31004,12.61157657766412
144,2855771,15,7,500004,233,233,131,1,0,500035,2017-10-18,2017-10-17,2018-02-09,4477,2018-02-22,20043,12.59484280628558
145,3003544,13,21,110015,233,233,131,1,0,302020,2017-10-17,2017-10-11,2018-03-21,4580,2018-03-26,38006,11.752979785319422
146,2861488,2,1,400059,233,233,131,1,0,110081,2017-10-24,2017-10-18,2018-02-11,4390,2018-03-05,56,11.59830327041435
147,3065821,13,21,110015,233,233,131,1,0,122001,2017-09-19,2017-09-12,2018-04-08,4580,2018-04-15,59,11.24990942169458
148,2835502,13,21,110015,233,233,131,1,0,110041,2017-09-05,2017-05-30,2018-02-03,4580,2018-02-08,1191,11.264916554053483
149,2869153,13,22,400104,233,233,131,2,0,395017,2017-04-13,2017-03-02,2018-02-14,4581,2018-02-19,1097,12.21509397390287
150,2886326,10,3,560011,233,233,131,1,0,560076,2017-12-29,2017-12-29,2018-02-19,4460,2018-02-21,604,12.063980160041767
151,2882267,18,1,400059,233,233,131,1,0,560106,2018-01-11,2017-06-02,2018-02-17,4011,2018-02-21,51,14.443630650453848
152,2883958,10,9,411016,233,233,131,1,0,411011,2017-09-04,2017-08-30,2018-02-18,4021,2018-02-21,10922,13.474165164955725
153,2852611,10,1,400059,233,233,131,1,0,400602,2017-06-28,2017-06-28,2018-02-08,4398,2018-02-26,4989,12.410558142246783
154,2836058,17,1,400059,233,233,131,1,0,400710,2017-09-25,2017-09-17,2018-02-03,4011,2018-02-19,65,14.347037130262251
155,2870588,12,1,400059,233,233,131,2,0,422101,2017-05-26,2017-05-26,2018-02-14,4018,2018-02-24,21384,15.11480464590208
156,2943441,13,17,800001,233,233,131,1,0,800004,2017-06-15,2017-06-13,2018-03-05,4538,2018-03-09,6,11.545495472332467
157,2949640,15,4,600024,233,233,131,2,0,636005,2017-03-20,2017-03-18,2018-03-07,4492,2018-03-10,18,13.38544948890138
158,2951215,13,21,110015,233,233,228,2,0,282003,2018-01-22,2017-12-10,2018-03-07,4580,2018-03-17,231986,14.828517471945847
159,3004630,13,21,110015,308,233,131,1,0,110035,2017-08-18,2017-08-17,2018-03-21,4580,2018-03-28,65,11.249988964798955
160,2973024,13,7,500004,233,233,131,2,0,533003,2017-03-27,2017-03-24,2018-03-12,4403,2018-03-26,9,13.381903157564121
161,3011239,13,21,110015,233,233,228,1,0,122015,2017-07-06,2017-07-06,2018-03-23,4580,2018-03-30,39976,11.290018537243975
162,3000598,13,21,110015,233,233,228,1,0,201010,2018-03-03,2016-10-06,2018-03-20,4154,2018-03-24,69,12.218724553386606
163,3030507,13,17,800001,201,233,131,4,0,803215,2017-05-16,2017-05-13,2018-03-28,4538,2018-03-31,29205,14.911553058282873
164,3009461,10,27,110034,233,233,228,1,0,302016,2017-06-02,2017-05-29,2018-03-23,4388,2018-04-01,29205,11.28505811588101
165,3057192,10,27,110034,233,233,131,1,0,110092,2018-01-15,2017-04-30,2018-04-05,4388,2018-04-11,26,11.387304642796199
166,3074344,10,25,560037,233,245,228,1,0,560091,2018-04-03,2018-03-31,2018-04-11,4460,2018-04-16,64,10.728631374988362
167,3017312,10,6,160059,233,233,131,2,0,148001,2017-03-28,2017-03-23,2018-03-25,4437,2018-03-30,50,13.013903715567663
168,2860280,10,2,110018,233,233,228,1,0,121001,2017-08-06,2017-05-20,2018-02-10,4388,2018-02-17,27,11.851776368597722
169,2832836,10,4,600024,0,233,131,1,0,600116,2017-05-14,2017-05-14,2018-02-02,4482,2018-02-04,4,11.942600990767392
170,2887534,10,6,160059,233,233,131,2,0,160025,2018-01-31,2018-01-21,2018-02-19,4437,2018-02-28,17,13.013466228493595
171,2979628,19,1,400059,233,233,131,1,0,110015,2018-02-23,2017-11-15,2018-03-14,4011,2018-03-18,40017,15.070246389469625
172,2879480,13,3,560011,233,233,131,1,0,560029,2016-11-22,2016-11-01,2018-02-17,4147,2018-02-20,22197,13.711657419281083
173,2948011,10,12,302006,233,233,228,1,0,302004,2017-09-17,2017-07-29,2018-03-06,4407,2018-03-17,4,11.405039420316948
174,2851199,13,3,560011,233,233,131,1,0,560037,2017-03-30,2017-03-30,2018-02-08,4467,2018-02-10,57,12.323112032280628
175,2985709,12,2,110018,233,233,228,2,0,209801,2017-06-16,2017-06-16,2018-03-15,4092,2018-03-18,12000,14.209953879716448
176,2823550,13,8,700064,233,233,131,2,0,713148,2017-12-27,2016-10-21,2018-01-31,4508,2018-02-04,233983,16.086290930898926
177,2839869,13,7,500004,233,233,131,1,0,500056,2017-03-22,2017-03-21,2018-02-05,4403,2018-02-10,16102,12.60226399784895
178,2845484,13,21,110015,233,233,228,1,0,201305,2018-01-15,2017-03-15,2018-02-06,4580,2018-02-07,3,10.760089118708235
179,2908320,4,2,110018,233,233,228,1,0,110007,2017-08-06,2016-07-04,2018-02-26,4148,2018-02-28,11,12.092163027932148
180,2873112,21,2,110018,201,233,228,4,0,388360,2017-08-01,2017-03-31,2018-02-15,4154,2018-02-19,11909,16.853571288006698
181,2904883,15,2,110018,233,233,131,1,0,201304,2017-10-03,2017-09-29,2018-02-24,4094,2018-02-27,10079,13.964071123457131
182,2945258,10,2,110018,233,233,131,1,0,110053,2017-09-08,2017-09-01,2018-03-06,4388,2018-03-13,162986,14.501231726939631
183,2967014,10,2,110018,233,233,228,1,0,110009,2018-02-16,2018-02-06,2018-03-10,4388,2018-03-12,15,11.85161728238897
184,2950522,13,22,400104,233,233,131,1,0,380052,2017-09-12,2017-09-11,2018-03-07,4581,2018-03-09,33950,11.657645219077477
185,3000380,13,21,110015,233,233,131,3,0,144411,2017-05-20,2017-05-15,2018-03-20,4580,2018-03-22,11986,13.394001901679973
186,2962723,10,2,110018,233,233,131,1,0,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,19,12.34074821180406
187,2962723,10,2,110018,0,233,131,1,0,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,10,12.340628897147496
188,2981246,13,21,110015,233,233,131,1,0,302029,2017-12-15,2017-12-13,2018-03-14,4580,2018-03-23,57193,12.007345375929216
189,2995195,13,26,560066,233,233,131,1,0,641025,2016-05-28,2016-05-01,2018-03-19,4495,2018-03-23,32999,11.786761488382185
190,2973748,15,11,641012,201,0,131,1,0,641025,2017-04-13,2017-04-12,2018-03-13,4492,2018-03-22,34,12.12568439760825
191,3000612,15,3,560011,233,233,131,2,0,590011,2018-02-27,2018-01-22,2018-03-20,4461,2018-03-23,29,13.529817932971246
192,2995876,13,17,800001,201,233,131,4,0,815351,2017-10-07,2017-10-05,2018-03-19,4410,2018-04-04,73,14.963357304911645
193,3081263,13,22,400104,233,233,131,1,0,400607,2017-07-22,2018-04-23,2018-04-13,4581,2018-04-18,17654,11.441606147592763
194,3072387,10,25,560037,308,233,228,1,0,560022,2018-02-18,2017-12-15,2018-04-10,4460,2018-04-18,21104,11.00756252766622
195,2893036,15,3,560011,233,245,228,1,0,560048,2017-11-15,2017-11-12,2018-02-21,4469,2018-02-24,14,12.02017836839996
196,2889463,13,3,560011,233,233,131,1,0,560023,2017-09-27,2017-09-27,2018-02-20,4467,2018-02-23,10,12.322488944629685
197,2949420,10,2,110018,233,233,228,1,0,110048,2017-08-17,2018-01-11,2018-03-07,4388,2018-03-14,11997,12.010464861827472
198,3047285,13,26,560066,233,233,131,3,0,635001,2017-12-22,2017-12-14,2018-04-02,5001,2018-04-06,41490,12.1537839904347
199,2851719,13,22,400104,233,233,131,2,0,395003,2017-03-06,2017-03-02,2018-02-08,4581,2018-02-15,14,12.200736443563036
200,3050820,15,5,380009,233,233,131,2,0,390001,2017-11-27,2017-11-27,2018-04-03,4546,2018-04-14,10941,13.307329718395387
201,2831087,15,1,400059,233,233,131,1,0,401101,2017-11-02,2017-11-02,2018-02-02,4545,2018-02-06,52,12.32597301030163
202,3025646,13,22,400104,233,233,131,1,0,421204,2017-04-10,2017-04-09,2018-03-27,4581,2018-04-01,22504,11.505903490296548
203,2970923,13,26,560066,201,201,131,0,0,686693,2017-09-28,2016-09-28,2018-03-12,4495,2018-03-18,39997,10.886548239617342
